"","X","paranum","paratext","doc","ents"
"10001",10001,"5","5.     The representative of Egypt said that his delegation could accept ECCAS' request on an ad hoc basis.","WTCOMTDM87.pdf","Egypt"
"10002",10002,"50","50.     The representative of Nigeria said that there seemed to be similarities between the proposal contained in document WT/COMTD/W/191 and the proposal that Barbados had introduced. He noted, however, that it was necessary to ensure that developing countries and LDCs had the capacity to participate in the proposed discussions. He also wondered whether it would be possible for a consolidated document to be prepared on the work to be undertaken by the Committee under the MC8 mandate.       1           The proposal was subsequently circulated in document WT/COMTD/W/195.                                         WT/COMTD/M/87                                               - 10 -","WTCOMTDM87.pdf","Nigeria, Barbados, LDCs, Committee"
"10003",10003,"51","51.      The representative of India said that it was not in the CTD's mandate to exchange country experiences. A workshop was a more appropriate forum for such discussions. The e-learning courses could also be enriched with information on country experiences. Finally, noting that there appeared to complementarities between the three submissions, he suggested that it would be useful if all the proponents met informally so as to reach a common understanding.","WTCOMTDM87.pdf","India, CTD"
"10004",10004,"52","52.     The representative of Ecuador said that the proposal introduced by Barbados could be enriched with elements of the proposal contained in document WT/COMTD/W/191, and in particular paragraph 5 of that submission.","WTCOMTDM87.pdf","Ecuador, Barbados"
"10005",10005,"53","53.      The representative of Nepal said that it was encouraging that Members had agreed to the first proposal contained in document WT/COMTD/W/192. While his delegation was open to further discussions on the remaining two proposals in that submission, in principle Nepal supported efforts to make the CTD's work more effective. He explained that, in his delegation's view, the three proposals in the submission were guided by the motivation to make the CTD function as the focal point for the coordination and consideration of development-related issues in the WTO. Members needed to gain a better understanding of what work the WTO was undertaking on development-related issues, and how this work could be made more effective. He went on to say that his delegation had taken note of the proposal contained in document WT/COMTD/W/191. As for the proposal contained in the informal paper introduced by Barbados, he said that it could be taken positively. He indicated that it would be useful if the proponents of the various submissions could identify the complementarities in the proposals.","WTCOMTDM87.pdf","Nepal, Members, Nepal, CTD, CTD, WTO, Members, WTO, Barbados"
"10006",10006,"54","54.      The representative of El Salvador said that his delegation was pleased that Members had agreed to the first proposal contained in document WT/COMTD/W/192. Turning to the proposal by the SVEs, he said that it sought to ensure that time and attention was devoted to individual development issues faced by developing countries. The proponents believed that the proposed workshops would contribute significantly to strengthening the work of the CTD. First, the discussions would take into account different viewpoints and would look at the contribution to development of the issue under discussion. The flexible and open format would enable Members to benefit from experiences and studies, as well as from information on ongoing projects and initiatives relating to the topic being discussed. All information gained through the discussions would provide Members with valuable input that could be used by authorities in capitals to meet development needs. He also noted the comments made on the potential complementarities of the SVEs' proposal with the proposal contained in document WT/COMTD/W/191. Finally, he indicated the willingness of his delegation, and other delegations in the SVEs Group, to contribute to a meaningful outcome to MC9 which would strengthen the link between trade and development.","WTCOMTDM87.pdf","El, Salvador, Members, CTD, Members, Members, SVEs, Group"
"10007",10007,"55","55.    The representative of the Dominican Republic welcomed the agreement on the first proposal contained in document WT/COMTD/W/192. With regard to the second proposal in that submission, she indicated that further discussion was required. She also expressed her support for the proposal by the SVEs, and suggested that there could possibly be some dovetailing with the proposal contained in document WT/COMTD/W/191.","WTCOMTDM87.pdf","Dominican, Republic"
"10008",10008,"56","56.     The representative of South Africa said that the implementation of the proposals contained in document WT/COMTD/W/192 would contribute to operationalizing the mandate of the CTD as the focal point for development issues in the WTO. Turning to the SVEs' proposal, she said that it would be forwarded to her capital. As a preliminary comment, however, she indicated that the proposal seemed to represent a good basis for further work. With regard to the proposal contained in document WT/COMTD/W/191, she said that there were positive aspects to it. However, she also raised a number of questions. First, she queried whether the implementation of the proposal would help Members to enhance their development prospects or their participation in the multilateral trading system. She also wished to know what outcome the proponents envisaged from the country presentations. While the sharing of country experiences was useful, it did not differ much from the TPR exercise. Furthermore, country presentations would not take Members forward towards a concrete goal, and would not meet the MC8 mandate. In light of her comments, she suggested that further work was necessary on the proposal. Her delegation was open to consider merging relevant aspects of the various proposals.","WTCOMTDM87.pdf","South, Africa, CTD, WTO, Members, Members"
"10009",10009,"57","57.      The representative of China said that the SVEs' proposal would be transmitted to his capital. As a preliminary comment, he said that the proposal appeared to have some common elements with the proposals contained in document WT/COMTD/W/192, and that these could                                           WT/COMTD/M/87                                                 - 11 - possibly be merged. On the proposal contained in document WT/COMTD/W/191, he said that while his delegation was open to the sharing of country experiences, it was important for Members to not lose sight of the CTD's other important work. Finally, he indicated China's willingness to continue to discuss the various proposals that had been made, which a view to achieving concrete results on development issues.","WTCOMTDM87.pdf","China, Members, CTD, China"
"10010",10010,"58","58.     The representative of the European Union said that a key role of the CTD was to explore the linkages between trade and development. The Committee could make a contribution by focusing on some clearly identified issues, and in this regard the proposal contained in document WT/COMTD/W/191 could add value. The SVEs' proposal demonstrated a similar interest to engage in topical discussions, which her delegation supported. The EU stood ready to explore how the two proposals could be brought closer together.","WTCOMTDM87.pdf","European, Union, CTD, Committee, EU"
