"","X","paranum","paratext","doc","ents"
"5001",5001,"125","125.    It was so agreed.","WTCOMTDM46.pdf",""
"5000",5000,"124","124.    The Chairman asked if Members could agree to his proposals.","WTCOMTDM46.pdf","Chairman, Members"
"4999",4999,"123","123.     The representative of Kenya said that, while his delegation took note of the intervention by the representative of the United States, his delegation believed that the WTO Secretariat should not be restricted from searching for information. A compilation of the largest possible range of documents would assist Members in making informed decisions.","WTCOMTDM46.pdf","Kenya, United, States, WTO, Secretariat, Members"
"4998",4998,"122","122.    The representative of the United States said that her delegation was prepared to join a consensus on the preparation of an inventory of documents and reports on the topic of trends in commodity prices. However, her delegation believed that that literature review should be a balanced compilation of materials that focused on trade-related aspects of commodity trends. The Secretariat should be instructed to gather objective analysis from research institutions not directly affiliated with Member Governments and the focus of the literature should be consistent with the trade-liberalizing aspect of the WTO mission.","WTCOMTDM46.pdf","United, States, Secretariat, Member, WTO"
"4997",4997,"121","121.     The Chairman said that there seemed to be consensus about the importance of the issue. However, there were still differences of opinion regarding the approach to be taken to remedy the situation, particularly regarding the proposal to convene a one day special forum to discuss the issue as well as its transmission to other WTO bodies. He suggested that the Committee take note of the                                                                                     WT/COMTD/M/46                                                                                            Page 39 statements made and requested the Secretariat to draw up an inventory of documents on the issue and work already done by other international organizations in other to assist Members' consideration of the issue. He further suggested that the Secretariat prepare that document for the next meeting of the Committee and that the item be kept on the agenda. He would, in the meantime, undertake informal consultations on how to proceed.","WTCOMTDM46.pdf","Chairman, WTO, Committee, Secretariat, Members, Secretariat, Committee"
"4996",4996,"120","120.     The representative of Indonesia said that his delegation supported the proposals made by the delegations of Kenya, Tanzania and Uganda as well as the suggestion of having the issue discussed at a special forum. The reason why his delegation supported consideration of the issue of declining commodity prices in developing countries was what the authors had mentioned in paragraph 3 of their paper. He agreed with the observations made by other international organisations that some developing countries who were heavily dependent on primary commodities were becoming poorer and poorer and had become characterised as ""heavily indebted poor countries"" (HIPCs). The reasons behind the decline in the prices of primary commodities had been explained in the paper. If the CTD, or other WTO bodies, focused a discussion on the issue, Members would be able to find solutions to the problem of falling commodity prices. Developing countries should not have to depend exclusively on international loans. That would make even more countries heavily indebted. He said that he agreed with the observations that had been made by other Members that the declining prices of primary commodities should be seriously considered at the next meeting of the CTD. Developing countries would no longer depend on international loans if that problem could be resolved.","WTCOMTDM46.pdf","Indonesia, Kenya, Tanzania, Uganda, CTD, WTO, Members, Members, CTD"
"4995",4995,"12","12.      The representative of Japan said that at the Committee on Budget, Finance and Administration (Committee on BFA), it had been stated that his delegation would urge the CTD to examine and evaluate the TA activities that had been implemented before embarking on discussions regarding the 2004 TA Plan. His delegation sought clarification as to whether the TA activities planned for the remaining part of 2003 would be fully implemented according to schedule. He was reiterating those points to make Members aware of them. To avoid any misunderstanding, he would explain that in more detail. The intention was to caution against the hasty implementation of TA activities. Since there were only three months remaining in 2003, more attention needed to be paid to the expenditure on the TA activities and that did not mean just adding the numbers of implemented activities. Thus, at the Committee on BFA, his delegation had indicated its reservation on any hasty WT/COMTD/M/46 Page 4 implementation of TA activities. He expressed his delegation's appreciation to the Secretariat in preparing the first draft of the 2004 TA Plan which incorporated the comments and inputs made by both donor and beneficiary Members during its preparation process, and provided a good basis towards finalizing the 2004 TA Plan. He stressed the importance of reviewing the implemented plans while embarking on discussions on the draft 2004 TA Plan and on the projected total amount of expenditure. While his delegation appreciated the Secretariat's report on the implementation of the 2003 TA Plan as well as the Director-General's report on paragraph 41 of Doha Ministerial Declaration (WT/MIN(3)/3) submitted at the Fifth Ministerial Meeting at Cancún, it believed that a more qualitative analysis of the implemented plan was useful to embark on that exercise. In other words, his delegation would appreciate an elaboration on both the positive and negative points experienced in the delivery of the TA activities. Upon receipt of such detailed information, which should provide examples of an efficient and effective implementation of the trade-related technical assistance (TRTA) as well as areas where there was room for improvement, it would be useful to share the experiences and make use of the lessons learned before enabling any justification for the 2004 TA Plan. That feedback exercise would contribute to a more efficient and effective use of human and financial resources.","WTCOMTDM46.pdf","Japan, Committee, on, Budget, ,, Finance, and, Administration, -LRB-, Committee, BFA, CTD, Members, Committee, BFA, Secretariat, Members, Secretariat, Director-General, Cancún"
"4994",4994,"119","119.    The representative of Benin said that his delegation associated itself with the intervention made by the representative of Kenya. The question of declining commodity prices was crucial for developing countries and for African countries in particular as most of those countries were producers and net exporters of one or more commodities. The evolution of the world economy and Africa's share in world trade showed that urgent action had to be taken. The proposals contained in the paper by the delegations of Kenya, Tanzania and Uganda were wise, reflected the realities in the field and merited careful consideration for appropriate and sustainable solutions to be found.","WTCOMTDM46.pdf","Benin, Kenya, Africa, Kenya, Tanzania, Uganda"
"4993",4993,"118","118.     The representative of Rwanda said that his delegation supported the suggestions made by the representative of Kenya on the issue of commodities which was vital to developing country economies. The representative of Kenya had listed some commodities for which their prices had tragically declined. He mentioned the case of coffee which was important to producers in Rwanda. More than half of the export earnings of the Rwandan economy depended on the export of coffee. Coffee prices had declined and continued to do so. The question had been raised during the 50th Session of the Trade and Development Board of UNCTAD and it would soon be discussed by the United Nations in New York. As the representative of Switzerland had mentioned, the WTO could not ignore that important issue. He said that the proposals made by the representative of Kenya were plausible and warranted discussion. It was therefore important that there was a forum within the WTO to discuss the question. Members could then take decisions on how to treat the issue.","WTCOMTDM46.pdf","Rwanda, Kenya, Kenya, Rwanda, Trade, and, Development, Board, of, UNCTAD, United, Nations, New, York, Switzerland, WTO, Kenya, WTO, Members"
"4992",4992,"117","117.    She continued by saying that concern had been raised that the paper confined itself to a narrow range of commodities to which specific reference had been made. The non-paper dealt with coffee, cocoa and sugar as those were some of the main commodities which African countries WT/COMTD/M/46 Page 38 produced and exported. However, the non-paper dealt in general terms with problems faced in trade in other commodities. Her delegation expected that requests for discussions on other products would be held in due course as the CTD commenced its discussions with interested producing countries. In conclusion, she said that her delegation believed that at that meeting Members should take a decision on the way forward in terms of how the CTD should deal with the issue of commodities Her delegation proposed that, as a starting point, the CTD request the Secretariat to prepare an inventory or bibliography of relevant documents, including a compilation of relevant work carried out by the WTO and other relevant organizations. That work would facilitate a substantial discussion in the CTD to identify long term solutions, as envisaged in the non-paper. It was in that regard that her delegation suggested that the CTD should hold a special forum. Her delegation was not aiming at the creation of a negotiating body but proposed a one day special forum for such discussions. In order to provide sufficient time for the preparation of background documentation, her delegation suggested that the special forum be held after the forthcoming CTD meeting in November 2003, or perhaps early in 2004.","WTCOMTDM46.pdf","CTD, Members, CTD, CTD, Secretariat, WTO, CTD, CTD"
