"","X","paranum","paratext","doc","ents"
"3001",3001,"148","148.    The Committee on Trade and Development Seminar on Trade, Technology and Development, held on 14 February, was opened by the Director-General, Mr Mike Moore. It was addressed by distinguished speakers from the Indian and Zambian delegations in Geneva; from the Brazilian Ministry of Science and Technology; from the National Research Council of Canada; from the Southern Methodist University, Dallas, Texas; and from OECD, UNCTAD, UNIDO, UNEP and the WTO Secretariat. Although the seminar was, regrettably, sparsely attended, all those who took part recognized the high quality of the interventions during the day and the keen interest of the debate, especially in the afternoon session. This report sets out the main points raised in statements and discussions.","WTCOMTDM32.pdf","Committee, Director-General, Mike, Moore, Geneva, Ministry, of, Science, and, Technology, National, Research, Council, of, Canada, Southern, Methodist, University, Dallas, Texas, OECD, UNCTAD, UNIDO, UNEP, WTO, Secretariat"
"3002",3002,"149","149.     It was widely recognised that technology is a key driver in the trade and development process. In the last two decades, the highest growth rates have been recorded in industries, goods and services exhibiting high technology content. The assimilation and absorption of new technologies, especially those intensive in their use of knowledge-based assets, give developing countries the opportunity to catch up with developed country partners, or to ""leapfrog"" stages of development. But, to some extent mirroring overall patterns in developing countries’ trade, there are great disparities in the degree to which developing countries have been able to benefit from the rapid growth in high technology, high value added sectors.","WTCOMTDM32.pdf",""
"3003",3003,"15","15.     The representative of the European Communities had an open mind about the pending requests and was sure the discussion would continue. The EC also supported observer status for the Organisation Internationale de la Francophonie which did a lot of pragmatic, useful work in areas of concern to the CTD. No links should be made to other pending requests for observership.","WTCOMTDM32.pdf","European, Communities, EC, Organisation, Internationale, de, la, Francophonie, CTD"
"3004",3004,"150","150.     Foreign investment - which includes FDI and other procedures such as joint venture or other ""arms-length"" arrangements - often plays a critical role in the transfer of technology and can contribute to upgrading domestic technological capabilities. But FDI flows also vary enormously across developing countries and are highly concentrated in a few recipients. While foreign investors often provide a first impetus for technological advancement, foreign investment may not automatically lead to an upgrading of technological capabilities. Spill-over effects may be limited, in part owing to the interest that foreign investors – especially multinational companies – may have in safeguarding their technological assets from potential competitors. Equally, the process of transfer is typically costly, requiring significant investment by both parties in a process with uncertain outcomes.","WTCOMTDM32.pdf",""
"3005",3005,"151","151.     Upgrading domestic technological capabilities therefore requires governments to create a suitable enabling environment by adopting appropriate policies. Key policy choices for a favourable enabling environment include investment in human capital, with training matched to skills requirements; infrastructure development; establishment of research institutions with close linkages to the private sector and to foreign institutions; and other policies to strengthen the development of the private sector, including competition and regulatory policy, and sound financial and macroeconomic management. It is also important that policy-makers adopt a dynamic perspective, recognising that sources of comparative advantage change over time. For example, while a country may initially benefit from low unit labour costs, dangers exist if production is confined to low level assembly activities that offer little scope to move up the technology ladder. This situation, if not recognised, can lead to increased vulnerability as competitors emerge. It also needs to be recognised that in any industry, the minimal threshold capabilities required simply for survival is likely to rise with time.                                                                                     WT/COMTD/M/32                                                                                            Page 29","WTCOMTDM32.pdf",""
"3006",3006,"152","152.     When considering policy responses, a key element to consider is the opportunities and challenges for the development of technological capability presented by the WTO agreements and the relation of these agreements to policy options open to developing countries.         •       Some speakers noted that, while technology transfer is one of the objectives of the                 TRIPS Agreement (see Article 7), it is unclear how far this objective has been met.                 While there is evidence to suggest that foreign direct investment responds positively                 and significantly to strong Intellectual Property regimes, especially in sectors that are                 intensive in the use of knowledge-based assets, it was also argued that such response                 may not necessarily be linked to enhanced transfer of technology. Furthermore,                 while patent provisions provide channels that can facilitate the transfer of technology,                 many developing countries had in practice experienced difficulty in making use of                 these.         •       On subsidies, it was noted that the WTO Agreement on Subsidies and Countervailing                 Measures rules out certain aspects of activist industrial policy, based, for example, on                 selective subsidisation, by making them actionable through countervailing measures.                 However, serious questions were posed regarding the utility and effectiveness of such                 policies in any case. Although the Agreement classifies certain types of spending on                 research and development as non-actionable (see Article 8), some examples were                 given of instances where developing countries have had practical difficulties in                 deriving benefits from these provisions.         •       Regarding trade in services, developing countries were encouraged to use the                 flexibility – to date sparingly used – available to them under the GATS to attach                 conditions to their market access offers that would facilitate access to technology (see                 Article XIX.2). Commitments in respect of commercial presence may facilitate                 access to technology, including in critical infrastructure-related areas such as                 telecommunications. However, as in goods sectors, access to technology was not                 necessarily coextensive with transfer of technology.","WTCOMTDM32.pdf","WTO, WTO"
"3007",3007,"153","153.     The question of capacity development in Least-Developed Countries was given particular attention, and the point was made that their low participation in the world economy was to some extent a reflection of the technology gap they faced relative to their more developed trading partners. Article 66.2 of the TRIPS agreement, which was legally binding on developed country members, had to date been of uncertain benefit. A possible area of action was the development of a concrete list of incentives capable of overcoming special obstacles for technology transfer for LDCs.","WTCOMTDM32.pdf","LDCs"
"3008",3008,"154","154.     In the afternoon, various speakers from donor and international agencies outlined examples of international collaborative arrangements at bilateral and multilateral levels that can facilitate the upgrading of developing country technological capabilities. It was emphasised that it was important to differentiate technical assistance from the transfer of technology. At the same time, such assistance can enhance the possibilities for technology absorption, especially through the creation of local and cross-border networks and partnerships – including public-private partnerships; transfer of best practices; and the development of linkage between research institutions and enterprises. Numerous examples were quoted, and a presentation was given by the National Research Council of Canada drawing on its experience of over 30 years in the field of technology-related assistance. It was also pointed out that technical assistance can also play an important role in supporting policy formulation with a view to creating an appropriate enabling environment for the enhancement of technological capabilities. WT/COMTD/M/32 Page 30","WTCOMTDM32.pdf","National, Research, Council, of, Canada"
"3009",3009,"155","155.    The presentations made to the Seminar – most of which were in PowerPoint format - will be placed on the WTO website and thus made available to all Members and Observers, as well as the wider public.                                           __________","WTCOMTDM32.pdf","WTO, Members"
"3010",3010,"16","16.     As a member of the Organisation Internationale de la Francophonie, the representative of Canada supported its request for observership in the CTD. Canada also asked that this request not be linked to other pending requests.","WTCOMTDM32.pdf","Organisation, Internationale, de, la, Francophonie, Canada, CTD, Canada"
"3011",3011,"17","17.      The representative of the United States, obtaining instructions later in the meeting, indicated that it had no problems with observer status for the Organisation Internationale de la Francophonie. She noted that this was to be a separate sub-item.","WTCOMTDM32.pdf","United, States, Organisation, Internationale, de, la, Francophonie"
"3012",3012,"18","18.     The Chairman noted that the CTD was not in position to take a decision at this time on observer status for the League of Arab States, from OPEC and from the Gulf Organization for Industrial Consulting, on which Egypt had indicated a desire to treat all three together.","WTCOMTDM32.pdf","Chairman, CTD, League, of, Arab, States, OPEC, Gulf, Organization, for, Industrial, Consulting, Egypt"
"3013",3013,"19","19.      The Chairman said that the CTD had a request for observer status in the CTD from the Organisation Internationale de la Francophonie. A copy of the request and supporting information was available in the room. It was understood that this request would be for ad hoc observer status until the general question of observer status was resolved in the General Council. WT/COMTD/M/32 Page 4","WTCOMTDM32.pdf","Chairman, CTD, CTD, Organisation, Internationale, de, la, Francophonie, General, Council"
"3014",3014,"2","2.      The Chairman indicated that he would be making announcements under ""Other Business"" on a forthcoming CTD seminar on electronic commerce and on plans for an internship scheme for missions in Geneva. 2.      Further Consideration of request for observer status by League of Arab States, the         Organization of the Petroleum Exporting Countries (OPEC), and the Gulf Organization         for Industrial Consulting 2.      Notifications by Canada and Norway on their GSP Schemes","WTCOMTDM32.pdf","Chairman, Geneva, League, of, Arab, States, Petroleum, Exporting, Countries, OPEC, Gulf, Organization, for, Industrial, Consulting, Canada, Norway"
"3015",3015,"20","20.     The Chairman said that, during discussions on the previous sub-item no Member had spoken against observer status for the Organisation Internationale de la Francophonie. Several delegations had also indicated that this should not be considered along with the previous pending requests, but Egypt had indicated that all four requests at this meeting under sub-items 2 and 3 should be treated together. In this situation, the CTD was not in a position to agree to observer status for the Organisation Internationale de la Francophonie at the present meeting.","WTCOMTDM32.pdf","Chairman, Member, Organisation, Internationale, de, la, Francophonie, Egypt, CTD, Organisation, Internationale, de, la, Francophonie"
"3016",3016,"21","21.      The representative of Egypt said that he could support observer status for all four organizations, but wanted to consider all four as a package. The representative expected that all four would be considered together as ""further consideration of pending requests"" under the second sub- item at the next CTD.","WTCOMTDM32.pdf","Egypt"
"3017",3017,"22","22.     The Chairman said that delegations had before them a notification (WT/COMTD/N/13) by the parties of the Central African Economic and Monetary Community and a copy of the corresponding treaty (WT/COMTD/24).","WTCOMTDM32.pdf","Chairman, Central, African, Economic, and, Monetary, Community"
